# Ossuary rating table — generated by tools/FetchCodexData, do not edit
# snapshot	v26
# data_through	2026-08-25T16:34:38.319000
# total_runs	1416903
kind	bracket	character	id	score	win_rate	pick_rate	picks	tier
cards	all	all	SCRAPE	41	40.5	13.9	25253	C
cards	all	all	SCRAWL	100	67.6	3.1	9281	S
cards	all	all	SCULPTING_STRIKE	46	41.9	8.3	28532	B
cards	all	all	SEANCE	70	49.2	28.2	19775	A
cards	all	all	SECOND_WIND	51	43.5	18	36941	B
cards	all	all	SECRET_TECHNIQUE	100	64.9	4.5	11280	S
cards	all	all	SECRET_WEAPON	100	60.5	3.2	9979	S
cards	all	all	SEEKER_STRIKE	74	50.5	4.9	13285	A
cards	all	all	SEEKING_EDGE	66	47.9	37.2	36852	B
cards	all	all	SENTRY_MODE	52	43.8	29.5	18567	B
cards	all	all	SERPENT_FORM	69	48.8	32.6	31162	A
cards	all	all	SETUP_STRIKE	18	33.6	17.2	77444	D
cards	all	all	SEVEN_STARS	50	43.3	26.3	22991	B
cards	all	all	SEVERANCE	50	43.2	19.6	35247	B
cards	all	all	SHADOWMELD	49	42.8	21.4	20851	B
cards	all	all	SHADOW_SHIELD	26	36	25.7	38770	D
cards	all	all	SHADOW_STEP	58	45.4	22.9	22373	B
cards	all	all	SHARED_FATE	89	54.8	19.7	18651	S
cards	all	all	SHATTER	44	41.4	28.1	31162	C
cards	all	all	SHINING_STRIKE	40	40	28	51264	C
cards	all	all	SHOCKWAVE	73	50	9.8	16609	A
cards	all	all	SHROUD	43	41	23	42272	C
cards	all	all	SHRUG_IT_OFF	34	38.5	33.7	167204	C
cards	all	all	SIC_EM	27	36.4	20.3	31168	D
cards	all	all	SIDESTEP	44	41.2	39.7	4436	C
cards	all	all	SIGNAL_BOOST	61	46.4	36.8	30484	B
cards	all	all	SKEWER	37	39.1	5.8	13086	C
cards	all	all	SKIM	53	44.1	27.7	39335	B
cards	all	all	SLEIGHT_OF_FLESH	42	40.9	23.9	39488	C
cards	all	all	SLICE	32	37.9	9.8	58074	C
cards	all	all	SMOKESTACK	36	39	18.9	31794	C
cards	all	all	SNAKEBITE	24	35.3	14	58889	D
cards	all	all	SNAP	36	38.9	14.3	67545	C
cards	all	all	SNEAKY	93	56.2	41.2	21754	S
cards	all	all	SOLAR_STRIKE	18	33.5	15.4	57976	D
cards	all	all	SOULBOUND	70	49.3	24.9	4288	A
cards	all	all	SOUL_STORM	58	45.4	22	21799	B
cards	all	all	SOW	8	30.4	9.7	46067	F
cards	all	all	SPECTRUM_SHIFT	40	40.3	22.6	28844	C
